"event"	"age"	"PDF"	"CDF"
"Hk22"	"-6054.5"	"0"	"0"
"Hk22"	"-6053.5"	"2.37389954905404e-07"	"2.37389954905404e-07"
"Hk22"	"-6052.5"	"7.12199864710514e-07"	"9.49589819615918e-07"
"Hk22"	"-6051.5"	"9.49499819633014e-07"	"1.89908963924893e-06"
"Hk22"	"-6050.5"	"7.12199864710514e-07"	"2.61128950395945e-06"
"Hk22"	"-6049.5"	"9.49499819633014e-07"	"3.56078932359246e-06"
"Hk22"	"-6048.5"	"2.37389954905404e-07"	"3.79817927849786e-06"
"Hk22"	"-6047.5"	"9.49499819633014e-07"	"4.74767909813088e-06"
"Hk22"	"-6046.5"	"1.89359964029181e-06"	"6.64127873842269e-06"
"Hk22"	"-6045.5"	"9.49499819633014e-07"	"7.5907785580557e-06"
"Hk22"	"-6044.5"	"2.13099959519532e-06"	"9.72177815325102e-06"
"Hk22"	"-6043.5"	"1.89359964029181e-06"	"1.16153777935428e-05"
"Hk22"	"-6042.5"	"1.89359964029181e-06"	"1.35089774338346e-05"
"Hk22"	"-6041.5"	"1.65619968538831e-06"	"1.5165177119223e-05"
"Hk22"	"-6040.5"	"3.07499941587311e-06"	"1.82401765350961e-05"
"Hk22"	"-6039.5"	"3.07499941587311e-06"	"2.13151759509692e-05"
"Hk22"	"-6038.5"	"3.54999932564213e-06"	"2.48651752766113e-05"
"Hk22"	"-6037.5"	"2.60569950502132e-06"	"2.74708747816326e-05"
"Hk22"	"-6036.5"	"2.36829955011782e-06"	"2.98391743317504e-05"
"Hk22"	"-6035.5"	"3.3119993708526e-06"	"3.3151173702603e-05"
"Hk22"	"-6034.5"	"3.54999932564213e-06"	"3.67011730282452e-05"
"Hk22"	"-6033.5"	"3.07499941587311e-06"	"3.97761724441183e-05"
"Hk22"	"-6032.5"	"2.84309945992483e-06"	"4.26192719040431e-05"
"Hk22"	"-6031.5"	"3.54999932564213e-06"	"4.61692712296852e-05"
"Hk22"	"-6030.5"	"2.36829955011782e-06"	"4.85375707798031e-05"
"Hk22"	"-6029.5"	"3.54999932564213e-06"	"5.20875701054452e-05"
"Hk22"	"-6028.5"	"4.73699910015965e-06"	"5.68245692056048e-05"
"Hk22"	"-6027.5"	"4.02499923541115e-06"	"6.0849568441016e-05"
"Hk22"	"-6026.5"	"5.68099892083745e-06"	"6.65305673618534e-05"
"Hk22"	"-6025.5"	"5.91799887581693e-06"	"7.24485662376704e-05"
"Hk22"	"-6024.5"	"5.44299896604792e-06"	"7.78915652037183e-05"
"Hk22"	"-6023.5"	"4.97399905513914e-06"	"8.28655642588574e-05"
