"event"	"age"	"PDF"	"CDF"
"EES15"	"-1952.5"	"0"	"0"
"EES15"	"-1951.5"	"0"	"0"
"EES15"	"-1950.5"	"0"	"0"
"EES15"	"-1949.5"	"3.549007970717e-06"	"3.549007970717e-06"
"EES15"	"-1948.5"	"0"	"3.549007970717e-06"
"EES15"	"-1947.5"	"0"	"3.549007970717e-06"
"EES15"	"-1946.5"	"0"	"3.549007970717e-06"
"EES15"	"-1945.5"	"0"	"3.549007970717e-06"
"EES15"	"-1944.5"	"0"	"3.549007970717e-06"
"EES15"	"-1943.5"	"0"	"3.549007970717e-06"
"EES15"	"-1942.5"	"0"	"3.549007970717e-06"
"EES15"	"-1941.5"	"0"	"3.549007970717e-06"
"EES15"	"-1940.5"	"0"	"3.549007970717e-06"
"EES15"	"-1939.5"	"0"	"3.549007970717e-06"
"EES15"	"-1938.5"	"4.02800904650552e-06"	"7.57701701722252e-06"
"EES15"	"-1937.5"	"7.098015941434e-06"	"1.46750329586565e-05"
"EES15"	"-1936.5"	"2.36230530550149e-06"	"1.7037338264158e-05"
"EES15"	"-1935.5"	"2.39650538231144e-07"	"1.72769888023892e-05"
"EES15"	"-1934.5"	"9.47202127321258e-07"	"1.82241909297104e-05"
"EES15"	"-1933.5"	"3.30900743169979e-06"	"2.15331983614102e-05"
"EES15"	"-1932.5"	"1.18680266544011e-06"	"2.27200010268503e-05"
"EES15"	"-1931.5"	"5.68301276347836e-06"	"2.84030137903287e-05"
"EES15"	"-1930.5"	"1.41510317818023e-06"	"2.98181169685089e-05"
"EES15"	"-1929.5"	"5.20401168768985e-06"	"3.50221286561987e-05"
"EES15"	"-1928.5"	"9.23202073419537e-06"	"4.42541493903941e-05"
"EES15"	"-1927.5"	"9.23202073419537e-06"	"5.34861701245895e-05"
"EES15"	"-1926.5"	"1.20740271170575e-05"	"6.5560197241647e-05"
"EES15"	"-1925.5"	"2.60190584362033e-06"	"6.81621030852673e-05"
"EES15"	"-1924.5"	"7.098015941434e-06"	"7.52601190267013e-05"
"EES15"	"-1923.5"	"1.01790228610674e-05"	"8.54391418877688e-05"
"EES15"	"-1922.5"	"2.22530499781249e-05"	"0.000107692191865894"
"EES15"	"-1921.5"	"1.13660255269567e-05"	"0.00011905821739285"
"EES15"	"-1920.5"	"2.4148054234115e-05"	"0.000143206271626965"
"EES15"	"-1919.5"	"1.27810287049124e-05"	"0.000155987300331878"
"EES15"	"-1918.5"	"2.36800531830314e-05"	"0.000179667353514909"
"EES15"	"-1917.5"	"2.95910664585762e-05"	"0.000209258419973485"
"EES15"	"-1916.5"	"3.14850707123203e-05"	"0.000240743490685806"
"EES15"	"-1915.5"	"4.16600935644041e-05"	"0.00028240358425021"
"EES15"	"-1914.5"	"4.45100999652335e-05"	"0.000326913684215443"
"EES15"	"-1913.5"	"5.18401164277175e-05"	"0.000378753800643161"
"EES15"	"-1912.5"	"6.62901488810454e-05"	"0.000445043949524206"
"EES15"	"-1911.5"	"4.54501020763843e-05"	"0.000490494051600591"
"EES15"	"-1910.5"	"6.60501483420282e-05"	"0.000556544199942619"
"EES15"	"-1909.5"	"7.52801690717317e-05"	"0.00063182436901435"
"EES15"	"-1908.5"	"8.2860186095692e-05"	"0.000714684555110042"
"EES15"	"-1907.5"	"8.54601919350451e-05"	"0.000800144747045087"
"EES15"	"-1906.5"	"8.23801850176575e-05"	"0.000882524932062745"
"EES15"	"-1905.5"	"0.000124530279682555"	"0.0010070552117453"
"EES15"	"-1904.5"	"0.000115290258930393"	"0.00112234547067569"
"EES15"	"-1903.5"	"0.00015081033870494"	"0.00127315580938063"
