"event"	"age"	"PDF"	"CDF"
"Event 4-E6"	"-467.5"	"0"	"0"
"Event 4-E6"	"-466.5"	"1.04119821892633e-06"	"1.04119821892633e-06"
"Event 4-E6"	"-465.5"	"1.04119821892633e-06"	"2.08239643785265e-06"
"Event 4-E6"	"-464.5"	"0"	"2.08239643785265e-06"
"Event 4-E6"	"-463.5"	"2.08229643802371e-06"	"4.16469287587637e-06"
"Event 4-E6"	"-462.5"	"1.04119821892633e-06"	"5.20589109480269e-06"
"Event 4-E6"	"-461.5"	"2.08229643802371e-06"	"7.28818753282641e-06"
"Event 4-E6"	"-460.5"	"0"	"7.28818753282641e-06"
"Event 4-E6"	"-459.5"	"1.04119821892633e-06"	"8.32938575175273e-06"
"Event 4-E6"	"-458.5"	"1.04119821892633e-06"	"9.37058397067906e-06"
"Event 4-E6"	"-457.5"	"1.04119821892633e-06"	"1.04117821896054e-05"
"Event 4-E6"	"-456.5"	"2.08229643802371e-06"	"1.24940786276291e-05"
"Event 4-E6"	"-455.5"	"1.04119821892633e-06"	"1.35352768465554e-05"
"Event 4-E6"	"-454.5"	"2.08229643802371e-06"	"1.56175732845791e-05"
"Event 4-E6"	"-453.5"	"2.08229643802371e-06"	"1.76998697226029e-05"
"Event 4-E6"	"-452.5"	"7.29198752632614e-06"	"2.4991857248929e-05"
"Event 4-E6"	"-451.5"	"3.12549465352885e-06"	"2.81173519024578e-05"
"Event 4-E6"	"-450.5"	"3.12549465352885e-06"	"3.12428465559867e-05"
"Event 4-E6"	"-449.5"	"1.04119821892633e-06"	"3.2284044774913e-05"
"Event 4-E6"	"-448.5"	"2.08229643802371e-06"	"3.43663412129367e-05"
"Event 4-E6"	"-447.5"	"6.24898931047888e-06"	"4.06153305234156e-05"
"Event 4-E6"	"-446.5"	"4.16699287194199e-06"	"4.47823233953576e-05"
"Event 4-E6"	"-445.5"	"4.16699287194199e-06"	"4.89493162672996e-05"
"Event 4-E6"	"-444.5"	"7.29198752632614e-06"	"5.62413037936257e-05"
"Event 4-E6"	"-443.5"	"5.20799109121044e-06"	"6.14492948848362e-05"
"Event 4-E6"	"-442.5"	"7.29198752632614e-06"	"6.87412824111623e-05"
"Event 4-E6"	"-441.5"	"6.24898931047888e-06"	"7.49902717216412e-05"
"Event 4-E6"	"-440.5"	"9.37498396315243e-06"	"8.43652556847936e-05"
"Event 4-E6"	"-439.5"	"8.33298574559458e-06"	"9.26982414303882e-05"
"Event 4-E6"	"-438.5"	"1.14589803982681e-05"	"0.000104157221828656"
"Event 4-E6"	"-437.5"	"6.24898931047888e-06"	"0.000110406211139135"
"Event 4-E6"	"-436.5"	"6.24898931047888e-06"	"0.000116655200449614"
"Event 4-E6"	"-435.5"	"5.20799109121044e-06"	"0.000121863191540825"
"Event 4-E6"	"-434.5"	"1.14589803982681e-05"	"0.000133322171939093"
"Event 4-E6"	"-433.5"	"6.24898931047888e-06"	"0.000139571161249572"
"Event 4-E6"	"-432.5"	"1.04159821824209e-05"	"0.000149987143431992"
"Event 4-E6"	"-431.5"	"1.7707969708747e-05"	"0.000167695113140739"
"Event 4-E6"	"-430.5"	"7.29198752632614e-06"	"0.000174987100667066"
"Event 4-E6"	"-429.5"	"1.24999786175366e-05"	"0.000187487079284602"
"Event 4-E6"	"-428.5"	"6.24898931047888e-06"	"0.000193736068595081"
"Event 4-E6"	"-427.5"	"1.04159821824209e-05"	"0.000204152050777502"
"Event 4-E6"	"-426.5"	"1.3540976836805e-05"	"0.000217693027614307"
"Event 4-E6"	"-425.5"	"1.3540976836805e-05"	"0.000231234004451112"
"Event 4-E6"	"-424.5"	"9.37498396315243e-06"	"0.000240608988414264"
"Event 4-E6"	"-423.5"	"7.29198752632614e-06"	"0.000247900975940591"
"Event 4-E6"	"-422.5"	"6.24898931047888e-06"	"0.000254149965251069"
"Event 4-E6"	"-421.5"	"6.24898931047888e-06"	"0.000260398954561548"
"Event 4-E6"	"-420.5"	"1.24999786175366e-05"	"0.000272898933179085"
"Event 4-E6"	"-419.5"	"1.04159821824209e-05"	"0.000283314915361506"
"Event 4-E6"	"-418.5"	"1.14589803982681e-05"	"0.000294773895759774"
"Event 4-E6"	"-417.5"	"1.3540976836805e-05"	"0.000308314872596579"
"Event 4-E6"	"-416.5"	"7.29198752632614e-06"	"0.000315606860122905"
"Event 4-E6"	"-415.5"	"1.04159821824209e-05"	"0.000326022842305326"
"Event 4-E6"	"-414.5"	"2.08329643631312e-05"	"0.000346855806668457"
"Event 4-E6"	"-413.5"	"1.3540976836805e-05"	"0.000360396783505262"
"Event 4-E6"	"-412.5"	"2.29159607999575e-05"	"0.00038331274430522"
"Event 4-E6"	"-411.5"	"1.14589803982681e-05"	"0.000394771724703488"
"Event 4-E6"	"-410.5"	"2.1874962580689e-05"	"0.000416646687284177"
"Event 4-E6"	"-409.5"	"2.1874962580689e-05"	"0.000438521649864866"
"Event 4-E6"	"-408.5"	"3.33299429857995e-05"	"0.000471851592850665"
"Event 4-E6"	"-407.5"	"3.54199394106516e-05"	"0.000507271532261317"
"Event 4-E6"	"-406.5"	"4.06299304984409e-05"	"0.000547901462759758"
"Event 4-E6"	"-405.5"	"6.97898806174302e-05"	"0.000617691343377188"
"Event 4-E6"	"-404.5"	"8.12498610139877e-05"	"0.000698941204391176"
"Event 4-E6"	"-403.5"	"0.000106249818249061"	"0.000805191022640237"
"Event 4-E6"	"-402.5"	"0.000157289730940186"	"0.000962480753580423"
"Event 4-E6"	"-401.5"	"0.000158329729161165"	"0.00112081048274159"
"Event 4-E6"	"-400.5"	"0.000228119609778595"	"0.00134893009252018"
"Event 4-E6"	"-399.5"	"0.00033849942096289"	"0.00168742951348307"
"Event 4-E6"	"-398.5"	"0.000444799239126422"	"0.0021322287526095"
"Event 4-E6"	"-397.5"	"0.000540599075251222"	"0.00267282782786072"
"Event 4-E6"	"-396.5"	"0.000704198795397541"	"0.00337702662325826"
"Event 4-E6"	"-395.5"	"0.000854198538807979"	"0.00423122516206624"
"Event 4-E6"	"-394.5"	"0.000959398358853167"	"0.0051906235209194"
"Event 4-E6"	"-393.5"	"0.00106039818608286"	"0.00625102170700227"
"Event 4-E6"	"-392.5"	"0.00119379795788921"	"0.00744481966489148"
"Event 4-E6"	"-391.5"	"0.0013041977690393"	"0.00874901743393078"
"Event 4-E6"	"-390.5"	"0.00137599764621843"	"0.0101250150801492"
"Event 4-E6"	"-389.5"	"0.0014364975427273"	"0.0115615126228765"
"Event 4-E6"	"-388.5"	"0.00138329763373107"	"0.0129448102566076"
"Event 4-E6"	"-387.5"	"0.00142599756068857"	"0.0143708078172961"
"Event 4-E6"	"-386.5"	"0.00152599738962887"	"0.015896805206925"
"Event 4-E6"	"-385.5"	"0.00144579752681875"	"0.0173426027337438"
"Event 4-E6"	"-384.5"	"0.00152919738415495"	"0.0188718001178987"
"Event 4-E6"	"-383.5"	"0.00150519742520928"	"0.020376997543108"
"Event 4-E6"	"-382.5"	"0.00147809747156646"	"0.0218550950146745"
"Event 4-E6"	"-381.5"	"0.001490597450184"	"0.0233456924648585"
"Event 4-E6"	"-380.5"	"0.00151149741443252"	"0.024857189879291"
"Event 4-E6"	"-379.5"	"0.00154059736465415"	"0.0263977872439451"
"Event 4-E6"	"-378.5"	"0.00156249732719207"	"0.0279602845711372"
"Event 4-E6"	"-377.5"	"0.00161879723088546"	"0.0295790818020227"
"Event 4-E6"	"-376.5"	"0.00160309725774183"	"0.0311821790597645"
"Event 4-E6"	"-375.5"	"0.00156559732188922"	"0.0327477763816537"
"Event 4-E6"	"-374.5"	"0.00151149741443252"	"0.0342592737960862"
"Event 4-E6"	"-373.5"	"0.00154789735216679"	"0.035807171148253"
"Event 4-E6"	"-372.5"	"0.00160519725414958"	"0.0374123684024026"
"Event 4-E6"	"-371.5"	"0.00153329737714151"	"0.0389456657795441"
"Event 4-E6"	"-370.5"	"0.00156349732548147"	"0.0405091631050256"
"Event 4-E6"	"-369.5"	"0.00159999726304468"	"0.0421091603680703"
"Event 4-E6"	"-368.5"	"0.00158959728083489"	"0.0436987576489052"
"Event 4-E6"	"-367.5"	"0.00159059727912429"	"0.0452893549280295"
"Event 4-E6"	"-366.5"	"0.0016270972166875"	"0.046916452144717"
"Event 4-E6"	"-365.5"	"0.00154689735387739"	"0.0484633494985943"
"Event 4-E6"	"-364.5"	"0.00158229729332225"	"0.0500456467919166"
"Event 4-E6"	"-363.5"	"0.00159899726475528"	"0.0516446440566719"
"Event 4-E6"	"-362.5"	"0.00161149724337282"	"0.0532561413000447"
"Event 4-E6"	"-361.5"	"0.00163439720420014"	"0.0548905385042448"
"Event 4-E6"	"-360.5"	"0.00156039733078433"	"0.0564509358350292"
"Event 4-E6"	"-359.5"	"0.00150939741802478"	"0.0579603332530539"
"Event 4-E6"	"-358.5"	"0.00156149732890267"	"0.0595218305819566"
"Event 4-E6"	"-357.5"	"0.00156459732359982"	"0.0610864279055564"
"Event 4-E6"	"-356.5"	"0.00164379718812053"	"0.062730225093677"
"Event 4-E6"	"-355.5"	"0.00156669732000756"	"0.0642969224136845"
"Event 4-E6"	"-354.5"	"0.00153959736636474"	"0.0658365197800493"
"Event 4-E6"	"-353.5"	"0.00155729733608718"	"0.0673938171161364"
"Event 4-E6"	"-352.5"	"0.00154479735746964"	"0.0689386144736061"
"Event 4-E6"	"-351.5"	"0.00150939741802478"	"0.0704480118916309"
"Event 4-E6"	"-350.5"	"0.0016332972060818"	"0.0720813090977127"
"Event 4-E6"	"-349.5"	"0.0015312973805627"	"0.0736126064782754"
"Event 4-E6"	"-348.5"	"0.00164579718469934"	"0.0752584036629747"
"Event 4-E6"	"-347.5"	"0.00151769740382682"	"0.0767761010668015"
"Event 4-E6"	"-346.5"	"0.00165419717033032"	"0.0784302982371318"
"Event 4-E6"	"-345.5"	"0.00162919721309525"	"0.0800594954502271"
"Event 4-E6"	"-344.5"	"0.00162399722199035"	"0.0816834926722174"
"Event 4-E6"	"-343.5"	"0.00156769731829697"	"0.0832511899905144"
"Event 4-E6"	"-342.5"	"0.00163439720420014"	"0.0848855871947145"
"Event 4-E6"	"-341.5"	"0.00158439728973"	"0.0864699844844445"
"Event 4-E6"	"-340.5"	"0.00152919738415495"	"0.0879991818685995"
"Event 4-E6"	"-339.5"	"0.00151769740382682"	"0.0895168792724263"
"Event 4-E6"	"-338.5"	"0.00165099717580423"	"0.0911678764482305"
"Event 4-E6"	"-337.5"	"0.00163119720967405"	"0.0927990736579046"
"Event 4-E6"	"-336.5"	"0.00165729716502747"	"0.0944563708229321"
"Event 4-E6"	"-335.5"	"0.00156769731829697"	"0.096024068141229"
"Event 4-E6"	"-334.5"	"0.00161979722917486"	"0.0976438653704039"
