"event"	"age"	"PDF"	"CDF"
"Event 9"	"-3781.5"	"0"	"0"
"Event 9"	"-3780.5"	"4.73899683269147e-07"	"4.73899683269147e-07"
"Event 9"	"-3779.5"	"2.36949841634573e-07"	"7.1084952490372e-07"
"Event 9"	"-3778.5"	"2.36949841634573e-07"	"9.47799366538293e-07"
"Event 9"	"-3777.5"	"0"	"9.47799366538293e-07"
"Event 9"	"-3776.5"	"2.36949841634573e-07"	"1.18474920817287e-06"
"Event 9"	"-3775.5"	"0"	"1.18474920817287e-06"
"Event 9"	"-3774.5"	"0"	"1.18474920817287e-06"
"Event 9"	"-3773.5"	"2.36949841634573e-07"	"1.42169904980744e-06"
"Event 9"	"-3772.5"	"4.73899683269147e-07"	"1.89559873307659e-06"
"Event 9"	"-3771.5"	"2.36949841634573e-07"	"2.13254857471116e-06"
"Event 9"	"-3770.5"	"2.36949841634573e-07"	"2.36949841634573e-06"
"Event 9"	"-3769.5"	"0"	"2.36949841634573e-06"
"Event 9"	"-3768.5"	"0"	"2.36949841634573e-06"
"Event 9"	"-3767.5"	"4.73899683269147e-07"	"2.84339809961488e-06"
"Event 9"	"-3766.5"	"2.36949841634573e-07"	"3.08034794124945e-06"
"Event 9"	"-3765.5"	"2.36949841634573e-07"	"3.31729778288403e-06"
"Event 9"	"-3764.5"	"4.73899683269147e-07"	"3.79119746615317e-06"
"Event 9"	"-3763.5"	"2.36949841634573e-07"	"4.02814730778775e-06"
"Event 9"	"-3762.5"	"2.36949841634573e-07"	"4.26509714942232e-06"
"Event 9"	"-3761.5"	"0"	"4.26509714942232e-06"
"Event 9"	"-3760.5"	"0"	"4.26509714942232e-06"
"Event 9"	"-3759.5"	"0"	"4.26509714942232e-06"
"Event 9"	"-3758.5"	"0"	"4.26509714942232e-06"
"Event 9"	"-3757.5"	"2.36949841634573e-07"	"4.50204699105689e-06"
"Event 9"	"-3756.5"	"4.73899683269147e-07"	"4.97594667432604e-06"
"Event 9"	"-3755.5"	"4.73899683269147e-07"	"5.44984635759519e-06"
"Event 9"	"-3754.5"	"2.36949841634573e-07"	"5.68679619922976e-06"
"Event 9"	"-3753.5"	"0"	"5.68679619922976e-06"
"Event 9"	"-3752.5"	"4.73899683269147e-07"	"6.16069588249891e-06"
"Event 9"	"-3751.5"	"0"	"6.16069588249891e-06"
