"event"	"age"	"PDF"	"CDF"
"FM11"	"506.5"	"0"	"0"
"FM11"	"507.5"	"5.26500100719469e-07"	"5.26500100719469e-07"
"FM11"	"508.5"	"0"	"5.26500100719469e-07"
"FM11"	"509.5"	"0"	"5.26500100719469e-07"
"FM11"	"510.5"	"2.08990039979795e-06"	"2.61640050051742e-06"
"FM11"	"511.5"	"5.26500100719469e-07"	"3.14290060123689e-06"
"FM11"	"512.5"	"1.03700019837814e-06"	"4.17990079961502e-06"
"FM11"	"513.5"	"5.26500100719469e-07"	"4.70640090033449e-06"
"FM11"	"514.5"	"1.03700019837814e-06"	"5.74340109871263e-06"
"FM11"	"515.5"	"5.26500100719469e-07"	"6.2699011994321e-06"
"FM11"	"516.5"	"3.65300069881903e-06"	"9.92290189825113e-06"
"FM11"	"517.5"	"5.26500100719469e-07"	"1.04494019989706e-05"
"FM11"	"518.5"	"1.56350029909761e-06"	"1.20129022980682e-05"
"FM11"	"519.5"	"2.08990039979795e-06"	"1.41028026978662e-05"
"FM11"	"520.5"	"1.03700019837814e-06"	"1.51398028962443e-05"
"FM11"	"521.5"	"0"	"1.51398028962443e-05"
"FM11"	"522.5"	"5.26500100719469e-07"	"1.56663029969638e-05"
"FM11"	"523.5"	"2.08990039979795e-06"	"1.77562033967617e-05"
"FM11"	"524.5"	"2.08990039979795e-06"	"1.98461037965597e-05"
"FM11"	"525.5"	"2.08990039979795e-06"	"2.19360041963576e-05"
"FM11"	"526.5"	"5.26500100719469e-07"	"2.24625042970771e-05"
"FM11"	"527.5"	"0"	"2.24625042970771e-05"
"FM11"	"528.5"	"1.56350029909761e-06"	"2.40260045961747e-05"
"FM11"	"529.5"	"2.08990039979795e-06"	"2.61159049959726e-05"
"FM11"	"530.5"	"2.60040049745662e-06"	"2.87163054934292e-05"
"FM11"	"531.5"	"0"	"2.87163054934292e-05"
"FM11"	"532.5"	"2.08990039979795e-06"	"3.08062058932272e-05"
"FM11"	"533.5"	"0"	"3.08062058932272e-05"
"FM11"	"534.5"	"3.65300069881903e-06"	"3.44592065920462e-05"
"FM11"	"535.5"	"5.26500100719469e-07"	"3.49857066927657e-05"
