"event"	"age"	"PDF"	"CDF"
"Event T14"	"-1530.5"	"0"	"0"
"Event T14"	"-1529.5"	"4.98599227035579e-09"	"4.98599227035579e-09"
"Event T14"	"-1528.5"	"4.98599227035579e-09"	"9.97198454071158e-09"
"Event T14"	"-1527.5"	"4.98599227035579e-09"	"1.49579768110674e-08"
"Event T14"	"-1526.5"	"9.97198454071158e-09"	"2.4929961351779e-08"
"Event T14"	"-1525.5"	"4.98599227035579e-09"	"2.99159536221347e-08"
"Event T14"	"-1524.5"	"4.98599227035579e-09"	"3.49019458924905e-08"
"Event T14"	"-1523.5"	"4.98599227035579e-09"	"3.98879381628463e-08"
"Event T14"	"-1522.5"	"0"	"3.98879381628463e-08"
"Event T14"	"-1521.5"	"0"	"3.98879381628463e-08"
"Event T14"	"-1520.5"	"0"	"3.98879381628463e-08"
"Event T14"	"-1519.5"	"0"	"3.98879381628463e-08"
"Event T14"	"-1518.5"	"0"	"3.98879381628463e-08"
"Event T14"	"-1517.5"	"4.98599227035579e-09"	"4.48739304332021e-08"
"Event T14"	"-1516.5"	"4.98599227035579e-09"	"4.98599227035579e-08"
"Event T14"	"-1515.5"	"4.98599227035579e-09"	"5.48459149739137e-08"
"Event T14"	"-1514.5"	"9.97198454071158e-09"	"6.48178995146253e-08"
"Event T14"	"-1513.5"	"9.97198454071158e-09"	"7.47898840553369e-08"
"Event T14"	"-1512.5"	"9.97198454071158e-09"	"8.47618685960484e-08"
"Event T14"	"-1511.5"	"9.97198454071158e-09"	"9.473385313676e-08"
"Event T14"	"-1510.5"	"9.97198454071158e-09"	"1.04705837677472e-07"
"Event T14"	"-1509.5"	"9.97198454071158e-09"	"1.14677822218183e-07"
"Event T14"	"-1508.5"	"9.97198454071158e-09"	"1.24649806758895e-07"
"Event T14"	"-1507.5"	"1.49579768110674e-08"	"1.39607783569962e-07"
"Event T14"	"-1506.5"	"1.99439690814232e-08"	"1.59551752651385e-07"
"Event T14"	"-1505.5"	"2.99159536221347e-08"	"1.8946770627352e-07"
"Event T14"	"-1504.5"	"4.48699304394032e-08"	"2.34337636712923e-07"
"Event T14"	"-1503.5"	"6.48198995115247e-08"	"2.99157536224448e-07"
"Event T14"	"-1502.5"	"9.47398531274584e-08"	"3.93897389351906e-07"
"Event T14"	"-1501.5"	"1.34619791302707e-07"	"5.28517180654613e-07"
"Event T14"	"-1500.5"	"2.04429683078386e-07"	"7.32946863733e-07"
"Event T14"	"-1499.5"	"2.89189551677535e-07"	"1.02213641541053e-06"
