"event"	"age"	"PDF"	"CDF"
"WW350"	"-3010.5"	"0"	"0"
"WW350"	"-3009.5"	"2.26766901613526e-07"	"2.26766901613526e-07"
"WW350"	"-3008.5"	"9.44887089714778e-07"	"1.1716539913283e-06"
"WW350"	"-3007.5"	"1.17168399091841e-06"	"2.34333798224671e-06"
"WW350"	"-3006.5"	"2.83466126914433e-06"	"5.17799925139105e-06"
"WW350"	"-3005.5"	"1.66297727822592e-06"	"6.84097652961697e-06"
"WW350"	"-3004.5"	"4.49793854327132e-06"	"1.13389150728883e-05"
"WW350"	"-3003.5"	"6.38691273363138e-06"	"1.77258278065197e-05"
"WW350"	"-3002.5"	"5.93391892302624e-06"	"2.36597467295459e-05"
"WW350"	"-3001.5"	"9.71286729008323e-06"	"3.33726140196291e-05"
"WW350"	"-3000.5"	"1.16028414667802e-05"	"4.49754554864093e-05"
"WW350"	"-2999.5"	"1.4928796023232e-05"	"5.99042515096413e-05"
"WW350"	"-2998.5"	"2.01067252755795e-05"	"8.00109767852208e-05"
"WW350"	"-2997.5"	"2.43776669203798e-05"	"0.000104388643705601"
"WW350"	"-2996.5"	"3.5039521244159e-05"	"0.00013942816494976"
"WW350"	"-2995.5"	"3.69294954208559e-05"	"0.000176357660370615"
"WW350"	"-2994.5"	"4.75793499085926e-05"	"0.000223937010279208"
"WW350"	"-2993.5"	"5.30292754445705e-05"	"0.000276966285723779"
"WW350"	"-2992.5"	"6.34591329381943e-05"	"0.000340425418661973"
"WW350"	"-2991.5"	"6.57991009664858e-05"	"0.000406224519628459"
"WW350"	"-2990.5"	"7.12390266390949e-05"	"0.000477463546267554"
"WW350"	"-2989.5"	"7.38489909783431e-05"	"0.000551312537245897"
"WW350"	"-2988.5"	"7.38489909783431e-05"	"0.00062516152822424"
"WW350"	"-2987.5"	"9.7998661013915e-05"	"0.000723160189238155"
"WW350"	"-2986.5"	"9.44487095180028e-05"	"0.000817608898756158"
"WW350"	"-2985.5"	"8.71188096686967e-05"	"0.000904727708424854"
"WW350"	"-2984.5"	"9.89486480339478e-05"	"0.0010036763564588"
"WW350"	"-2983.5"	"0.00011149847656175"	"0.00111517483302055"
"WW350"	"-2982.5"	"0.000123328314927001"	"0.00123850314794755"
"WW350"	"-2981.5"	"0.000120758350041228"	"0.00135926149798878"
"WW350"	"-2980.5"	"0.000124038305226184"	"0.00148329980321497"
"WW350"	"-2979.5"	"0.000126198275713837"	"0.0016094980789288"
"WW350"	"-2978.5"	"0.000134928156434771"	"0.00174442623536357"
"WW350"	"-2977.5"	"0.000137798117221607"	"0.00188222435258518"
"WW350"	"-2976.5"	"0.000144188029914249"	"0.00202641238249943"
"WW350"	"-2975.5"	"0.000145588010785876"	"0.00217200039328531"
"WW350"	"-2974.5"	"0.00014936795913927"	"0.00232136835242458"
"WW350"	"-2973.5"	"0.000144638023765843"	"0.00246600637619042"
"WW350"	"-2972.5"	"0.000161687790809591"	"0.00262769416700001"
"WW350"	"-2971.5"	"0.000166677722630606"	"0.00279437188963062"
"WW350"	"-2970.5"	"0.0001671277164822"	"0.00296149960611282"
"WW350"	"-2969.5"	"0.000187277441170265"	"0.00314877704728308"
"WW350"	"-2968.5"	"0.000166897719624718"	"0.0033156747669078"
"WW350"	"-2967.5"	"0.000190337399361108"	"0.00350601216626891"
"WW350"	"-2966.5"	"0.000197437302352932"	"0.00370344946862184"
"WW350"	"-2965.5"	"0.000196947309047863"	"0.0039003967776697"
"WW350"	"-2964.5"	"0.000207877159709925"	"0.00410827393737963"
