"event"	"age"	"PDF"	"CDF"
"Event 21 (660/670"	"-2012.5"	"0"	"0"
"Event 21 (660/670"	"-2011.5"	"2.08029360954606e-06"	"2.08029360954606e-06"
"Event 21 (660/670"	"-2010.5"	"2.08029360954606e-06"	"4.16058721909212e-06"
"Event 21 (660/670"	"-2009.5"	"1.45809552087637e-05"	"1.87415424278558e-05"
"Event 21 (660/670"	"-2008.5"	"1.04139680093317e-05"	"2.91555104371875e-05"
"Event 21 (660/670"	"-2007.5"	"6.24698080989965e-06"	"3.54024912470871e-05"
"Event 21 (660/670"	"-2006.5"	"1.25009615982961e-05"	"4.79034528453832e-05"
"Event 21 (660/670"	"-2005.5"	"1.25009615982961e-05"	"6.04044144436793e-05"
"Event 21 (660/670"	"-2004.5"	"1.04139680093317e-05"	"7.0818382453011e-05"
"Event 21 (660/670"	"-2003.5"	"1.87479424081957e-05"	"8.95663248612067e-05"
"Event 21 (660/670"	"-2002.5"	"1.87479424081957e-05"	"0.000108314267269402"
"Event 21 (660/670"	"-2001.5"	"1.87479424081957e-05"	"0.000127062209677598"
"Event 21 (660/670"	"-2000.5"	"1.87479424081957e-05"	"0.000145810152085794"
"Event 21 (660/670"	"-1999.5"	"1.25009615982961e-05"	"0.00015831111368409"
"Event 21 (660/670"	"-1998.5"	"3.12489040064918e-05"	"0.000189560017690582"
"Event 21 (660/670"	"-1997.5"	"2.70819168070598e-05"	"0.000216641934497641"
"Event 21 (660/670"	"-1996.5"	"2.91689103960242e-05"	"0.000245810844893666"
"Event 21 (660/670"	"-1995.5"	"3.54198911936362e-05"	"0.000281230736087302"
"Event 21 (660/670"	"-1994.5"	"2.50019231965921e-05"	"0.000306232659283894"
"Event 21 (660/670"	"-1993.5"	"3.33398975831686e-05"	"0.000339572556867063"
"Event 21 (660/670"	"-1992.5"	"4.79198527950042e-05"	"0.000387492409662067"
"Event 21 (660/670"	"-1991.5"	"4.99998464054718e-05"	"0.000437492256067539"
"Event 21 (660/670"	"-1990.5"	"3.54198911936362e-05"	"0.000472912147261175"
"Event 21 (660/670"	"-1989.5"	"4.58298592152555e-05"	"0.00051874200647643"
"Event 21 (660/670"	"-1988.5"	"4.79198527950042e-05"	"0.000566661859271435"
"Event 21 (660/670"	"-1987.5"	"5.62498272061558e-05"	"0.00062291168647759"
"Event 21 (660/670"	"-1986.5"	"5.20798400159395e-05"	"0.00067499152649353"
"Event 21 (660/670"	"-1985.5"	"4.37498656047879e-05"	"0.000718741392098318"
"Event 21 (660/670"	"-1984.5"	"3.33398975831686e-05"	"0.000752081289681486"
"Event 21 (660/670"	"-1983.5"	"4.99998464054718e-05"	"0.000802081136086958"
"Event 21 (660/670"	"-1982.5"	"4.58298592152555e-05"	"0.000847910995302214"
"Event 21 (660/670"	"-1981.5"	"5.62498272061558e-05"	"0.000904160822508369"
