"event"	"age"	"PDF"	"CDF"
"Event 16"	"-1665.5"	"0"	"0"
"Event 16"	"-1664.5"	"0"	"0"
"Event 16"	"-1663.5"	"5.15898803888623e-07"	"5.15898803888623e-07"
"Event 16"	"-1662.5"	"5.15898803888623e-07"	"1.03179760777725e-06"
"Event 16"	"-1661.5"	"1.03179760777725e-06"	"2.06359521555449e-06"
"Event 16"	"-1660.5"	"5.15898803888623e-07"	"2.57949401944312e-06"
"Event 16"	"-1659.5"	"5.15898803888623e-07"	"3.09539282333174e-06"
"Event 16"	"-1658.5"	"5.15898803888623e-07"	"3.61129162722036e-06"
"Event 16"	"-1657.5"	"3.1257927528495e-06"	"6.73708438006986e-06"
"Event 16"	"-1656.5"	"2.09399514507226e-06"	"8.83107952514212e-06"
"Event 16"	"-1655.5"	"0"	"8.83107952514212e-06"
"Event 16"	"-1654.5"	"5.15898803888623e-07"	"9.34697832903074e-06"
"Event 16"	"-1653.5"	"5.15898803888623e-07"	"9.86287713291937e-06"
"Event 16"	"-1652.5"	"1.03179760777725e-06"	"1.08946747406966e-05"
"Event 16"	"-1651.5"	"1.54769641166587e-06"	"1.24423711523625e-05"
"Event 16"	"-1650.5"	"2.09399514507226e-06"	"1.45363662974347e-05"
"Event 16"	"-1649.5"	"1.54769641166587e-06"	"1.60840627091006e-05"
"Event 16"	"-1648.5"	"1.03179760777725e-06"	"1.71158603168779e-05"
"Event 16"	"-1647.5"	"0"	"1.71158603168779e-05"
"Event 16"	"-1646.5"	"2.60989394896088e-06"	"1.97257542658387e-05"
"Event 16"	"-1645.5"	"1.03179760777725e-06"	"2.0757551873616e-05"
"Event 16"	"-1644.5"	"1.03179760777725e-06"	"2.17893494813932e-05"
"Event 16"	"-1643.5"	"0"	"2.17893494813932e-05"
"Event 16"	"-1642.5"	"5.15898803888623e-07"	"2.23052482852819e-05"
"Event 16"	"-1641.5"	"2.09399514507226e-06"	"2.43992434303541e-05"
"Event 16"	"-1640.5"	"2.09399514507226e-06"	"2.64932385754264e-05"
"Event 16"	"-1639.5"	"5.15898803888623e-07"	"2.7009137379315e-05"
"Event 16"	"-1638.5"	"1.03179760777725e-06"	"2.80409349870922e-05"
"Event 16"	"-1637.5"	"1.54769641166587e-06"	"2.95886313987581e-05"
"Event 16"	"-1636.5"	"1.54769641166587e-06"	"3.1136327810424e-05"
"Event 16"	"-1635.5"	"1.03179760777725e-06"	"3.21681254182012e-05"
"Event 16"	"-1634.5"	"1.54769641166587e-06"	"3.37158218298671e-05"
"Event 16"	"-1633.5"	"2.09399514507226e-06"	"3.58098169749393e-05"
"Event 16"	"-1632.5"	"1.54769641166587e-06"	"3.73575133866052e-05"
"Event 16"	"-1631.5"	"5.15898803888623e-07"	"3.78734121904938e-05"
"Event 16"	"-1630.5"	"5.15898803888623e-07"	"3.83893109943825e-05"
"Event 16"	"-1629.5"	"0"	"3.83893109943825e-05"
"Event 16"	"-1628.5"	"2.09399514507226e-06"	"4.04833061394547e-05"
"Event 16"	"-1627.5"	"3.1257927528495e-06"	"4.36090988923042e-05"
"Event 16"	"-1626.5"	"1.03179760777725e-06"	"4.46408965000815e-05"
"Event 16"	"-1625.5"	"3.1257927528495e-06"	"4.7766689252931e-05"
"Event 16"	"-1624.5"	"6.25198550477161e-06"	"5.40186747577026e-05"
"Event 16"	"-1623.5"	"4.15799035969935e-06"	"5.81766651174019e-05"
"Event 16"	"-1622.5"	"9.37797825715741e-06"	"6.75546433745593e-05"
